item
airplane
alligator
ankle
ant
apple
applesauce
arm
baby
ball
balloon
banana
basket
bat
bathtub
bear
bed
bee
belt
bench
bib
bird
blanket
block
boat
book
bottle
bowl
box
boy
bread
breakfast
broom
brush
bucket
bug
bus
butter
butterfly
button
cake
camera
can
candy
car
cat
cereal
chair
chalk
cheese
chicken
chin
chocolate
clock
closet
cloud
coat
coffee
comb
cookie
corn
couch
cow
cracker
crayon
crib
cup
deer
diaper
dish
dog
doll
donkey
donut
door
drawer
dress
drink
dryer
duck
ear
egg
elephant
eye
face
finger
firetruck
fish
flag
flower
foot
fork
french fries
frog
game
garbage
giraffe
girl
glass
glasses
glue
goose
grass
green beans
gum
hair
hamburger
hammer
hand
hat
helicopter
horse
hose
ice
ice cream
jacket
jar
jeans
juice
knee
knife
ladder
lamb
lamp
leg
lion
lollipop
man
meat
melon
milk
money
monkey
moose
mop
motorcycle
mouse
mouth
muffin
nail
napkin
necklace
nose
orange
oven
owl
paint
pajamas
pancake
pants
paper
peanut butter
pen
pencil
penguin
pickle
pig
pillow
pizza
plant
plate
pony
popcorn
popsicle
potato
pretzel
pudding
pumpkin
puppy
purse
radio
raisin
refrigerator
rock
rocking chair
rooster
sandbox
sandwich
sauce
scarf
scissors
sheep
shirt
shoe
shorts
shoulder
shovel
shower
sink
sled
slide
slipper
snack
snow
snowman
snowsuit
soap
sock
soup
spaghetti
spoon
sprinkler
squirrel
stick
stove
strawberry
stroller
sweater
swing
table
tape
tiger
toast
toe
tongue
tooth
toothbrush
towel
toy
tractor
train
tray
tree
tricycle
truck
turkey
turtle
vacuum
walker
washing machine
watch
window
wolf
yogurt
zebra
zipper
